Nr      tilename      min_lat      max_lat      min_lon      max_lon
1      N00E006_full      0.001      0.999      6.001      6.999
2      N00E009_full      0.001      0.999      9.001      9.999
3      N00E010_full      0.001      0.999      10.001      10.999
4      N00E011_full      0.001      0.999      11.001      11.999
5      N00E012_full      0.001      0.999      12.001      12.999
6      N00E013_full      0.001      0.999      13.001      13.999
7      N00E014_full      0.001      0.999      14.001      14.999
8      N00E015_full      0.001      0.999      15.001      15.999
9      N00E016_full      0.001      0.999      16.001      16.999
10      N00E017_full      0.001      0.999      17.001      17.999
11      N00E018_full      0.001      0.999      18.001      18.999
12      N00E019_full      0.001      0.999      19.001      19.999
13      N00E020_full      0.001      0.999      20.001      20.999
14      N00E021_full      0.001      0.999      21.001      21.999
15      N00E022_full      0.001      0.999      22.001      22.999
16      N00E023_full      0.001      0.999      23.001      23.999
17      N00E024_full      0.001      0.999      24.001      24.999
18      N00E025_full      0.001      0.999      25.001      25.999
19      N00E026_full      0.001      0.999      26.001      26.999
20      N00E027_full      0.001      0.999      27.001      27.999
21      N00E028_full      0.001      0.999      28.001      28.999
22      N00E029_full      0.001      0.999      29.001      29.999
23      N01E007_full      1.001      1.999      7.001      7.999
24      N01E009_full      1.001      1.999      9.001      9.999
25      N01E010_full      1.001      1.999      10.001      10.999
26      N01E011_full      1.001      1.999      11.001      11.999
27      N01E012_full      1.001      1.999      12.001      12.999
28      N01E013_full      1.001      1.999      13.001      13.999
29      N01E014_full      1.001      1.999      14.001      14.999
30      N01E015_full      1.001      1.999      15.001      15.999
31      N01E016_full      1.001      1.999      16.001      16.999
32      N01E017_full      1.001      1.999      17.001      17.999
33      N01E018_full      1.001      1.999      18.001      18.999
34      N01E019_full      1.001      1.999      19.001      19.999
35      N01E020_full      1.001      1.999      20.001      20.999
36      N01E021_full      1.001      1.999      21.001      21.999
37      N01E022_full      1.001      1.999      22.001      22.999
38      N01E023_full      1.001      1.999      23.001      23.999
39      N01E024_full      1.001      1.999      24.001      24.999
40      N01E025_full      1.001      1.999      25.001      25.999
41      N01E026_full      1.001      1.999      26.001      26.999
42      N01E027_full      1.001      1.999      27.001      27.999
43      N01E028_full      1.001      1.999      28.001      28.999
44      N01E029_full      1.001      1.999      29.001      29.999
45      N02E009_full      2.001      2.999      9.001      9.999
46      N02E010_full      2.001      2.999      10.001      10.999
47      N02E011_full      2.001      2.999      11.001      11.999
48      N02E012_full      2.001      2.999      12.001      12.999
49      N02E013_full      2.001      2.999      13.001      13.999
50      N02E014_full      2.001      2.999      14.001      14.999
51      N02E015_full      2.001      2.999      15.001      15.999
52      N02E016_full      2.001      2.999      16.001      16.999
53      N02E017_full      2.001      2.999      17.001      17.999
54      N02E018_full      2.001      2.999      18.001      18.999
55      N02E019_full      2.001      2.999      19.001      19.999
56      N02E020_full      2.001      2.999      20.001      20.999
57      N02E021_full      2.001      2.999      21.001      21.999
58      N02E022_full      2.001      2.999      22.001      22.999
59      N02E023_full      2.001      2.999      23.001      23.999
60      N02E024_full      2.001      2.999      24.001      24.999
61      N02E025_full      2.001      2.999      25.001      25.999
62      N02E026_full      2.001      2.999      26.001      26.999
63      N02E027_full      2.001      2.999      27.001      27.999
64      N02E028_full      2.001      2.999      28.001      28.999
65      N02E029_full      2.001      2.999      29.001      29.999
66      N03E008_full      3.001      3.999      8.001      8.999
67      N03E009_full      3.001      3.999      9.001      9.999
68      N03E010_full      3.001      3.999      10.001      10.999
69      N03E011_full      3.001      3.999      11.001      11.999
70      N03E012_full      3.001      3.999      12.001      12.999
71      N03E013_full      3.001      3.999      13.001      13.999
72      N03E014_full      3.001      3.999      14.001      14.999
73      N03E015_full      3.001      3.999      15.001      15.999
74      N03E016_full      3.001      3.999      16.001      16.999
75      N03E017_full      3.001      3.999      17.001      17.999
76      N03E018_full      3.001      3.999      18.001      18.999
77      N03E019_full      3.001      3.999      19.001      19.999
78      N03E020_full      3.001      3.999      20.001      20.999
79      N03E021_full      3.001      3.999      21.001      21.999
80      N03E022_full      3.001      3.999      22.001      22.999
81      N03E023_full      3.001      3.999      23.001      23.999
82      N03E024_full      3.001      3.999      24.001      24.999
83      N03E025_full      3.001      3.999      25.001      25.999
84      N03E026_full      3.001      3.999      26.001      26.999
85      N03E027_full      3.001      3.999      27.001      27.999
86      N03E028_full      3.001      3.999      28.001      28.999
87      N03E029_full      3.001      3.999      29.001      29.999
88      N04E005_full      4.001      4.999      5.001      5.999
89      N04E006_full      4.001      4.999      6.001      6.999
90      N04E007_full      4.001      4.999      7.001      7.999
91      N04E008_full      4.001      4.999      8.001      8.999
92      N04E009_full      4.001      4.999      9.001      9.999
93      N04E010_full      4.001      4.999      10.001      10.999
94      N04E011_full      4.001      4.999      11.001      11.999
95      N04E012_full      4.001      4.999      12.001      12.999
96      N04E013_full      4.001      4.999      13.001      13.999
97      N04E014_full      4.001      4.999      14.001      14.999
98      N04E015_full      4.001      4.999      15.001      15.999
99      N04E016_full      4.001      4.999      16.001      16.999
100      N04E017_full      4.001      4.999      17.001      17.999
101      N04E018_full      4.001      4.999      18.001      18.999
102      N04E019_full      4.001      4.999      19.001      19.999
103      N04E020_full      4.001      4.999      20.001      20.999
104      N04E021_full      4.001      4.999      21.001      21.999
105      N04E022_full      4.001      4.999      22.001      22.999
106      N04E023_full      4.001      4.999      23.001      23.999
107      N04E024_full      4.001      4.999      24.001      24.999
108      N04E025_full      4.001      4.999      25.001      25.999
109      N04E026_full      4.001      4.999      26.001      26.999
110      N04E027_full      4.001      4.999      27.001      27.999
111      N04E028_full      4.001      4.999      28.001      28.999
112      N04E029_full      4.001      4.999      29.001      29.999
113      N05E000_full      5.001      5.999      0.001      0.999
114      N05E001_full      5.001      5.999      1.001      1.999
115      N05E004_full      5.001      5.999      4.001      4.999
116      N05E005_full      5.001      5.999      5.001      5.999
117      N05E006_full      5.001      5.999      6.001      6.999
118      N05E007_full      5.001      5.999      7.001      7.999
119      N05E008_full      5.001      5.999      8.001      8.999
120      N05E009_full      5.001      5.999      9.001      9.999
121      N05E010_full      5.001      5.999      10.001      10.999
122      N05E011_full      5.001      5.999      11.001      11.999
123      N05E012_full      5.001      5.999      12.001      12.999
124      N05E013_full      5.001      5.999      13.001      13.999
125      N05E014_full      5.001      5.999      14.001      14.999
126      N05E015_full      5.001      5.999      15.001      15.999
127      N05E016_full      5.001      5.999      16.001      16.999
128      N05E017_full      5.001      5.999      17.001      17.999
129      N05E018_full      5.001      5.999      18.001      18.999
130      N05E019_full      5.001      5.999      19.001      19.999
131      N05E020_full      5.001      5.999      20.001      20.999
132      N05E021_full      5.001      5.999      21.001      21.999
133      N05E022_full      5.001      5.999      22.001      22.999
134      N05E023_full      5.001      5.999      23.001      23.999
135      N05E024_full      5.001      5.999      24.001      24.999
136      N05E025_full      5.001      5.999      25.001      25.999
137      N05E026_full      5.001      5.999      26.001      26.999
138      N05E027_full      5.001      5.999      27.001      27.999
139      N05E028_full      5.001      5.999      28.001      28.999
140      N05E029_full      5.001      5.999      29.001      29.999
141      N06E000_full      6.001      6.999      0.001      0.999
142      N06E001_full      6.001      6.999      1.001      1.999
143      N06E002_full      6.001      6.999      2.001      2.999
144      N06E003_full      6.001      6.999      3.001      3.999
145      N06E004_full      6.001      6.999      4.001      4.999
146      N06E005_full      6.001      6.999      5.001      5.999
147      N06E006_full      6.001      6.999      6.001      6.999
148      N06E007_full      6.001      6.999      7.001      7.999
149      N06E008_full      6.001      6.999      8.001      8.999
150      N06E009_full      6.001      6.999      9.001      9.999
151      N06E010_full      6.001      6.999      10.001      10.999
152      N06E011_full      6.001      6.999      11.001      11.999
153      N06E012_full      6.001      6.999      12.001      12.999
154      N06E013_full      6.001      6.999      13.001      13.999
155      N06E014_full      6.001      6.999      14.001      14.999
156      N06E015_full      6.001      6.999      15.001      15.999
157      N06E016_full      6.001      6.999      16.001      16.999
158      N06E017_full      6.001      6.999      17.001      17.999
159      N06E018_full      6.001      6.999      18.001      18.999
160      N06E019_full      6.001      6.999      19.001      19.999
161      N06E020_full      6.001      6.999      20.001      20.999
162      N06E021_full      6.001      6.999      21.001      21.999
163      N06E022_full      6.001      6.999      22.001      22.999
164      N06E023_full      6.001      6.999      23.001      23.999
165      N06E024_full      6.001      6.999      24.001      24.999
166      N06E025_full      6.001      6.999      25.001      25.999
167      N06E026_full      6.001      6.999      26.001      26.999
168      N06E027_full      6.001      6.999      27.001      27.999
169      N06E028_full      6.001      6.999      28.001      28.999
170      N06E029_full      6.001      6.999      29.001      29.999
171      N07E000_full      7.001      7.999      0.001      0.999
172      N07E001_full      7.001      7.999      1.001      1.999
173      N07E002_full      7.001      7.999      2.001      2.999
174      N07E003_full      7.001      7.999      3.001      3.999
175      N07E004_full      7.001      7.999      4.001      4.999
176      N07E005_full      7.001      7.999      5.001      5.999
177      N07E006_full      7.001      7.999      6.001      6.999
178      N07E007_full      7.001      7.999      7.001      7.999
179      N07E008_full      7.001      7.999      8.001      8.999
180      N07E009_full      7.001      7.999      9.001      9.999
181      N07E010_full      7.001      7.999      10.001      10.999
